job_title,company,salary,rating
Staff Data Scientist,Metromile,Not Available,2.8
Principal Data Scientist - Candidate Recommendations,Indeed,"$187,000 - 231,000 a year",4.3
Data Scientist III,Thermo Fisher - America,Not Available,3.5
Staff Data Scientist,Thermo Fisher - America,Not Available,3.5
Data Scientist,PrimeNeuro,"$95,000 - 105,000 a year",Not Available
Senior Data Scientist - Moderation Engineering,Indeed,"$130,000 - 156,000 a year",4.3
Senior Data Scientist - Machine Learning,Blue Owl,Not Available,Not Available
Data Scientist,Gap Inc.,Not Available,3.8
Data Scientist,Carta,Not Available,3.8
Data Scientist,First Republic Bank,Not Available,3.9
Data Scientist,"VIZIO, Inc.",Not Available,Not Available
Data Scientist - Intermediate,Bayer,Not Available,4.2
Data Scientist,The Beans,"$85,000 - 125,000 a year",Not Available
Data Scientist,"Grammarly, Inc.",Not Available,4.6
Abl Schools | Data Scientist,Abl Schools,"$120,000 - 160,000 a year",Not Available
Associate Data Scientist,Gap Inc.,Not Available,3.8
Data Scientist,PrimeNeuro,"$95,000 - 105,000 a year",Not Available
Artificial Intelligence/Machine Learning Data Scientist,Mitre Corporation,Not Available,4.0
Principal Data Scientist - Telecommute,UnitedHealth Group,Not Available,3.7
Staff Data Scientist - Product,Twitter,Not Available,4.1
Machine Learning Data Scientist,Oura,Not Available,Not Available
"Data Scientist, Machine Learning",Carta,Not Available,3.8
Data Scientist,Komodo Health,Not Available,3.3
"Data Scientist, Analytics - Messaging Graph",Facebook,Not Available,4.1
Data Scientist,Cognizant Technology Solutions,Not Available,3.9
Research Data Scientist,University of California San Francisco,Not Available,4.2
Data Product Associate,Levi Strauss & Co.,Not Available,3.9
Staff Data Scientist,Opendoor,Not Available,4.2
Vitria Data Scientist,Vitria Technology,Not Available,3.3
Data Science Consultant,Accenture,Not Available,4.0
Data Scientist - Research & Economics,Uber,Not Available,3.7
Senior Data Analyst-Marketing,Kaiser Permanente,Not Available,4.1
Data Scientist (Digital Analytics & Monetization),Sony Interactive Entertainment PlayStation,Not Available,3.7
Data Scientist,Tubi,Not Available,Not Available
"Data Scientist, Analytics",First Place for Youth,Not Available,3.4
Data Scientist,a.k.a. Brands,Not Available,Not Available
Data Scientist,Grid Dynamics,Not Available,Not Available
Associate Software Development Engineer,NextEra Energy,Not Available,3.9
Data Scientist,Aquabyte,Not Available,Not Available
Data Management Associate,ClimateWorks Foundation,Not Available,Not Available
Data Scientist,Joby Aviation,Not Available,Not Available
Data Scientist,Second Genome,Not Available,4.5
Data Scientist Director,Oracle,Not Available,3.8
Sr. Data Scientist/Machine Learning Engineer,Perfect Minds,"$150,000 - 180,000 a year",Not Available
Data Scientist,"Zipcar, Inc.",Not Available,3.5
Data Scientist,Commonstock,Not Available,Not Available
"Data Scientist, Customer Intelligence - Opportunity for Working Remotely San Francisco, CA",VMware,Not Available,4.0
Data Scientist,RAPP,Not Available,3.5
Data Analyst - Disqus,Zeta Global,Not Available,2.6
